DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((p.p.))
2015-06-01,2015,1,6,BM12_CSDPJ12,2015-06-01T00:00:00-03:00,9.52
2015-07-01,2015,1,7,BM12_CSDPJ12,2015-07-01T00:00:00-03:00,9.84
2015-08-01,2015,1,8,BM12_CSDPJ12,2015-08-01T00:00:00-03:00,10.03
2015-09-01,2015,1,9,BM12_CSDPJ12,2015-09-01T00:00:00-03:00,9.96
2015-10-01,2015,1,10,BM12_CSDPJ12,2015-10-01T00:00:00-03:00,10.17
2015-11-01,2015,1,11,BM12_CSDPJ12,2015-11-01T00:00:00-02:00,10.33
2015-12-01,2015,1,12,BM12_CSDPJ12,2015-12-01T00:00:00-02:00,9.53
2016-01-01,2016,1,1,BM12_CSDPJ12,2016-01-01T00:00:00-02:00,11.19
2016-02-01,2016,1,2,BM12_CSDPJ12,2016-02-01T00:00:00-02:00,11.64
2016-03-01,2016,1,3,BM12_CSDPJ12,2016-03-01T00:00:00-03:00,11.73
2016-04-01,2016,1,4,BM12_CSDPJ12,2016-04-01T00:00:00-03:00,11.64
2016-05-01,2016,1,5,BM12_CSDPJ12,2016-05-01T00:00:00-03:00,11.67
2016-06-01,2016,1,6,BM12_CSDPJ12,2016-06-01T00:00:00-03:00,11.67
2016-07-01,2016,1,7,BM12_CSDPJ12,2016-07-01T00:00:00-03:00,12.25
2016-08-01,2016,1,8,BM12_CSDPJ12,2016-08-01T00:00:00-03:00,12.34
2016-09-01,2016,1,9,BM12_CSDPJ12,2016-09-01T00:00:00-03:00,11.72
2016-10-01,2016,1,10,BM12_CSDPJ12,2016-10-01T00:00:00-03:00,12.15
2016-11-01,2016,1,11,BM12_CSDPJ12,2016-11-01T00:00:00-02:00,11.47
2016-12-01,2016,1,12,BM12_CSDPJ12,2016-12-01T00:00:00-02:00,10.74
2017-01-01,2017,1,1,BM12_CSDPJ12,2017-01-01T00:00:00-02:00,12.35
2017-02-01,2017,1,2,BM12_CSDPJ12,2017-02-01T00:00:00-02:00,11.67
2017-03-01,2017,1,3,BM12_CSDPJ12,2017-03-01T00:00:00-03:00,11.79
2017-04-01,2017,1,4,BM12_CSDPJ12,2017-04-01T00:00:00-03:00,11.29
2017-05-01,2017,1,5,BM12_CSDPJ12,2017-05-01T00:00:00-03:00,11.28
2017-06-01,2017,1,6,BM12_CSDPJ12,2017-06-01T00:00:00-03:00,10.77
2017-07-01,2017,1,7,BM12_CSDPJ12,2017-07-01T00:00:00-03:00,11.35
2017-08-01,2017,1,8,BM12_CSDPJ12,2017-08-01T00:00:00-03:00,11.33
2017-09-01,2017,1,9,BM12_CSDPJ12,2017-09-01T00:00:00-03:00,10.41
2017-10-01,2017,1,10,BM12_CSDPJ12,2017-10-01T00:00:00-03:00,11.18
2017-11-01,2017,1,11,BM12_CSDPJ12,2017-11-01T00:00:00-02:00,10.73
2017-12-01,2017,1,12,BM12_CSDPJ12,2017-12-01T00:00:00-02:00,9.75
2018-01-01,2018,1,1,BM12_CSDPJ12,2018-01-01T00:00:00-02:00,10.84
2018-02-01,2018,1,2,BM12_CSDPJ12,2018-02-01T00:00:00-02:00,10.9
2018-03-01,2018,1,3,BM12_CSDPJ12,2018-03-01T00:00:00-03:00,9.88
2018-04-01,2018,1,4,BM12_CSDPJ12,2018-04-01T00:00:00-03:00,9.3
2018-05-01,2018,1,5,BM12_CSDPJ12,2018-05-01T00:00:00-03:00,8.93
2018-06-01,2018,1,6,BM12_CSDPJ12,2018-06-01T00:00:00-03:00,8.19
2018-07-01,2018,1,7,BM12_CSDPJ12,2018-07-01T00:00:00-03:00,8.66
2018-08-01,2018,1,8,BM12_CSDPJ12,2018-08-01T00:00:00-03:00,8.44
2018-09-01,2018,1,9,BM12_CSDPJ12,2018-09-01T00:00:00-03:00,8.34
2018-10-01,2018,1,10,BM12_CSDPJ12,2018-10-01T00:00:00-03:00,8.88
2018-11-01,2018,1,11,BM12_CSDPJ12,2018-11-01T00:00:00-03:00,8.87
2018-12-01,2018,1,12,BM12_CSDPJ12,2018-12-01T00:00:00-02:00,7.96
2019-01-01,2019,1,1,BM12_CSDPJ12,2019-01-01T00:00:00-02:00,9.5
2019-02-01,2019,1,2,BM12_CSDPJ12,2019-02-01T00:00:00-02:00,9.28
2019-03-01,2019,1,3,BM12_CSDPJ12,2019-03-01T00:00:00-03:00,9.15
2019-04-01,2019,1,4,BM12_CSDPJ12,2019-04-01T00:00:00-03:00,9.2
2019-05-01,2019,1,5,BM12_CSDPJ12,2019-05-01T00:00:00-03:00,9.07
2019-06-01,2019,1,6,BM12_CSDPJ12,2019-06-01T00:00:00-03:00,8.9
2019-07-01,2019,1,7,BM12_CSDPJ12,2019-07-01T00:00:00-03:00,9.34
2019-08-01,2019,1,8,BM12_CSDPJ12,2019-08-01T00:00:00-03:00,9.17
2019-09-01,2019,1,9,BM12_CSDPJ12,2019-09-01T00:00:00-03:00,8.59
2019-10-01,2019,1,10,BM12_CSDPJ12,2019-10-01T00:00:00-03:00,8.91
2019-11-01,2019,1,11,BM12_CSDPJ12,2019-11-01T00:00:00-03:00,8.68
2019-12-01,2019,1,12,BM12_CSDPJ12,2019-12-01T00:00:00-03:00,8.32
2020-01-01,2020,1,1,BM12_CSDPJ12,2020-01-01T00:00:00-03:00,9.54
2020-02-01,2020,1,2,BM12_CSDPJ12,2020-02-01T00:00:00-03:00,8.88
2020-03-01,2020,1,3,BM12_CSDPJ12,2020-03-01T00:00:00-03:00,8.71
2020-04-01,2020,1,4,BM12_CSDPJ12,2020-04-01T00:00:00-03:00,8.67
2020-05-01,2020,1,5,BM12_CSDPJ12,2020-05-01T00:00:00-03:00,8.14
2020-06-01,2020,1,6,BM12_CSDPJ12,2020-06-01T00:00:00-03:00,7.29
2020-07-01,2020,1,7,BM12_CSDPJ12,2020-07-01T00:00:00-03:00,6.88
2020-08-01,2020,1,8,BM12_CSDPJ12,2020-08-01T00:00:00-03:00,6.84
2020-09-01,2020,1,9,BM12_CSDPJ12,2020-09-01T00:00:00-03:00,6.04
2020-10-01,2020,1,10,BM12_CSDPJ12,2020-10-01T00:00:00-03:00,6.22
2020-11-01,2020,1,11,BM12_CSDPJ12,2020-11-01T00:00:00-03:00,6.2
2020-12-01,2020,1,12,BM12_CSDPJ12,2020-12-01T00:00:00-03:00,6.82
2021-01-01,2021,1,1,BM12_CSDPJ12,2021-01-01T00:00:00-03:00,8.44
