DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (GWh)
1987-05-01,1987,1,5,ELETRO12_CEEOUT12,1987-05-01T00:00:00-03:00,1919.0
1987-06-01,1987,1,6,ELETRO12_CEEOUT12,1987-06-01T00:00:00-03:00,1873.0
1987-07-01,1987,1,7,ELETRO12_CEEOUT12,1987-07-01T00:00:00-03:00,1911.0
1987-08-01,1987,1,8,ELETRO12_CEEOUT12,1987-08-01T00:00:00-03:00,2006.0
1987-09-01,1987,1,9,ELETRO12_CEEOUT12,1987-09-01T00:00:00-03:00,1981.0
1987-10-01,1987,1,10,ELETRO12_CEEOUT12,1987-10-01T00:00:00-03:00,1991.0
1987-11-01,1987,1,11,ELETRO12_CEEOUT12,1987-11-01T00:00:00-03:00,1996.0
1987-12-01,1987,1,12,ELETRO12_CEEOUT12,1987-12-01T00:00:00-02:00,1977.0
1988-01-01,1988,1,1,ELETRO12_CEEOUT12,1988-01-01T00:00:00-02:00,2093.0
1988-02-01,1988,1,2,ELETRO12_CEEOUT12,1988-02-01T00:00:00-02:00,2007.0
1988-03-01,1988,1,3,ELETRO12_CEEOUT12,1988-03-01T00:00:00-03:00,2016.0
1988-04-01,1988,1,4,ELETRO12_CEEOUT12,1988-04-01T00:00:00-03:00,2161.0
1988-05-01,1988,1,5,ELETRO12_CEEOUT12,1988-05-01T00:00:00-03:00,2067.0
1988-06-01,1988,1,6,ELETRO12_CEEOUT12,1988-06-01T00:00:00-03:00,2120.0
1988-07-01,1988,1,7,ELETRO12_CEEOUT12,1988-07-01T00:00:00-03:00,2164.0
1988-08-01,1988,1,8,ELETRO12_CEEOUT12,1988-08-01T00:00:00-03:00,2231.0
1988-09-01,1988,1,9,ELETRO12_CEEOUT12,1988-09-01T00:00:00-03:00,2346.0
1988-10-01,1988,1,10,ELETRO12_CEEOUT12,1988-10-01T00:00:00-03:00,2361.0
1988-11-01,1988,1,11,ELETRO12_CEEOUT12,1988-11-01T00:00:00-03:00,2275.0
1988-12-01,1988,1,12,ELETRO12_CEEOUT12,1988-12-01T00:00:00-02:00,2356.0
1989-01-01,1989,1,1,ELETRO12_CEEOUT12,1989-01-01T00:00:00-02:00,2379.0
1989-02-01,1989,1,2,ELETRO12_CEEOUT12,1989-02-01T00:00:00-02:00,2375.0
1989-03-01,1989,1,3,ELETRO12_CEEOUT12,1989-03-01T00:00:00-03:00,2329.0
1989-04-01,1989,1,4,ELETRO12_CEEOUT12,1989-04-01T00:00:00-03:00,2305.0
1989-05-01,1989,1,5,ELETRO12_CEEOUT12,1989-05-01T00:00:00-03:00,2257.0
1989-06-01,1989,1,6,ELETRO12_CEEOUT12,1989-06-01T00:00:00-03:00,2323.0
1989-07-01,1989,1,7,ELETRO12_CEEOUT12,1989-07-01T00:00:00-03:00,2323.0
1989-08-01,1989,1,8,ELETRO12_CEEOUT12,1989-08-01T00:00:00-03:00,2339.0
1989-09-01,1989,1,9,ELETRO12_CEEOUT12,1989-09-01T00:00:00-03:00,2423.0
1989-10-01,1989,1,10,ELETRO12_CEEOUT12,1989-10-01T00:00:00-03:00,2351.0
1989-11-01,1989,1,11,ELETRO12_CEEOUT12,1989-11-01T00:00:00-03:00,2391.0
1989-12-01,1989,1,12,ELETRO12_CEEOUT12,1989-12-01T00:00:00-02:00,2371.0
1990-01-01,1990,1,1,ELETRO12_CEEOUT12,1990-01-01T00:00:00-02:00,2443.0
1990-02-01,1990,1,2,ELETRO12_CEEOUT12,1990-02-01T00:00:00-02:00,2433.0
1990-03-01,1990,1,3,ELETRO12_CEEOUT12,1990-03-01T00:00:00-03:00,2368.0
1990-04-01,1990,1,4,ELETRO12_CEEOUT12,1990-04-01T00:00:00-03:00,2424.0
1990-05-01,1990,1,5,ELETRO12_CEEOUT12,1990-05-01T00:00:00-03:00,2362.0
1990-06-01,1990,1,6,ELETRO12_CEEOUT12,1990-06-01T00:00:00-03:00,2386.0
1990-07-01,1990,1,7,ELETRO12_CEEOUT12,1990-07-01T00:00:00-03:00,2381.0
1990-08-01,1990,1,8,ELETRO12_CEEOUT12,1990-08-01T00:00:00-03:00,2445.0
1990-09-01,1990,1,9,ELETRO12_CEEOUT12,1990-09-01T00:00:00-03:00,2469.0
1990-10-01,1990,1,10,ELETRO12_CEEOUT12,1990-10-01T00:00:00-03:00,2390.0
1990-11-01,1990,1,11,ELETRO12_CEEOUT12,1990-11-01T00:00:00-03:00,2497.0
1990-12-01,1990,1,12,ELETRO12_CEEOUT12,1990-12-01T00:00:00-02:00,2429.0
1991-01-01,1991,1,1,ELETRO12_CEEOUT12,1991-01-01T00:00:00-02:00,2620.0
1991-02-01,1991,1,2,ELETRO12_CEEOUT12,1991-02-01T00:00:00-02:00,2548.0
1991-03-01,1991,1,3,ELETRO12_CEEOUT12,1991-03-01T00:00:00-03:00,2493.0
1991-04-01,1991,1,4,ELETRO12_CEEOUT12,1991-04-01T00:00:00-03:00,2448.0
1991-05-01,1991,1,5,ELETRO12_CEEOUT12,1991-05-01T00:00:00-03:00,2503.0
1991-06-01,1991,1,6,ELETRO12_CEEOUT12,1991-06-01T00:00:00-03:00,2538.0
1991-07-01,1991,1,7,ELETRO12_CEEOUT12,1991-07-01T00:00:00-03:00,2509.0
1991-08-01,1991,1,8,ELETRO12_CEEOUT12,1991-08-01T00:00:00-03:00,2586.0
1991-09-01,1991,1,9,ELETRO12_CEEOUT12,1991-09-01T00:00:00-03:00,2618.0
1991-10-01,1991,1,10,ELETRO12_CEEOUT12,1991-10-01T00:00:00-03:00,2592.0
1991-11-01,1991,1,11,ELETRO12_CEEOUT12,1991-11-01T00:00:00-03:00,2666.0
1991-12-01,1991,1,12,ELETRO12_CEEOUT12,1991-12-01T00:00:00-02:00,2621.0
1992-01-01,1992,1,1,ELETRO12_CEEOUT12,1992-01-01T00:00:00-02:00,2717.0
1992-02-01,1992,1,2,ELETRO12_CEEOUT12,1992-02-01T00:00:00-02:00,2662.0
1992-03-01,1992,1,3,ELETRO12_CEEOUT12,1992-03-01T00:00:00-03:00,2599.0
1992-04-01,1992,1,4,ELETRO12_CEEOUT12,1992-04-01T00:00:00-03:00,2569.0
1992-05-01,1992,1,5,ELETRO12_CEEOUT12,1992-05-01T00:00:00-03:00,2575.0
1992-06-01,1992,1,6,ELETRO12_CEEOUT12,1992-06-01T00:00:00-03:00,2566.0
1992-07-01,1992,1,7,ELETRO12_CEEOUT12,1992-07-01T00:00:00-03:00,2649.0
1992-08-01,1992,1,8,ELETRO12_CEEOUT12,1992-08-01T00:00:00-03:00,2687.0
1992-09-01,1992,1,9,ELETRO12_CEEOUT12,1992-09-01T00:00:00-03:00,2624.0
1992-10-01,1992,1,10,ELETRO12_CEEOUT12,1992-10-01T00:00:00-03:00,2629.0
1992-11-01,1992,1,11,ELETRO12_CEEOUT12,1992-11-01T00:00:00-03:00,2684.0
1992-12-01,1992,1,12,ELETRO12_CEEOUT12,1992-12-01T00:00:00-02:00,2628.0
1993-01-01,1993,1,1,ELETRO12_CEEOUT12,1993-01-01T00:00:00-02:00,2787.0
1993-02-01,1993,1,2,ELETRO12_CEEOUT12,1993-02-01T00:00:00-02:00,2613.0
1993-03-01,1993,1,3,ELETRO12_CEEOUT12,1993-03-01T00:00:00-03:00,2670.0
1993-04-01,1993,1,4,ELETRO12_CEEOUT12,1993-04-01T00:00:00-03:00,2784.0
1993-05-01,1993,1,5,ELETRO12_CEEOUT12,1993-05-01T00:00:00-03:00,2678.0
1993-06-01,1993,1,6,ELETRO12_CEEOUT12,1993-06-01T00:00:00-03:00,2675.0
1993-07-01,1993,1,7,ELETRO12_CEEOUT12,1993-07-01T00:00:00-03:00,2678.0
1993-08-01,1993,1,8,ELETRO12_CEEOUT12,1993-08-01T00:00:00-03:00,2723.0
1993-09-01,1993,1,9,ELETRO12_CEEOUT12,1993-09-01T00:00:00-03:00,2775.0
1993-10-01,1993,1,10,ELETRO12_CEEOUT12,1993-10-01T00:00:00-03:00,2726.0
1993-11-01,1993,1,11,ELETRO12_CEEOUT12,1993-11-01T00:00:00-03:00,2782.0
1993-12-01,1993,1,12,ELETRO12_CEEOUT12,1993-12-01T00:00:00-02:00,2758.0
1994-01-01,1994,1,1,ELETRO12_CEEOUT12,1994-01-01T00:00:00-02:00,2879.0
1994-02-01,1994,1,2,ELETRO12_CEEOUT12,1994-02-01T00:00:00-02:00,2750.0
1994-03-01,1994,1,3,ELETRO12_CEEOUT12,1994-03-01T00:00:00-03:00,2734.0
1994-04-01,1994,1,4,ELETRO12_CEEOUT12,1994-04-01T00:00:00-03:00,2815.0
1994-05-01,1994,1,5,ELETRO12_CEEOUT12,1994-05-01T00:00:00-03:00,2759.0
