DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
2010-01-01,2010,1,1,BM12_TPFMA12,2010-01-01T00:00:00-02:00,27.28
2010-02-01,2010,1,2,BM12_TPFMA12,2010-02-01T00:00:00-02:00,25.24
2010-03-01,2010,1,3,BM12_TPFMA12,2010-03-01T00:00:00-03:00,22.42
2010-04-01,2010,1,4,BM12_TPFMA12,2010-04-01T00:00:00-03:00,18.32
2010-05-01,2010,1,5,BM12_TPFMA12,2010-05-01T00:00:00-03:00,17.7
2010-06-01,2010,1,6,BM12_TPFMA12,2010-06-01T00:00:00-03:00,18.78
2010-07-01,2010,1,7,BM12_TPFMA12,2010-07-01T00:00:00-03:00,19.94
2010-08-01,2010,1,8,BM12_TPFMA12,2010-08-01T00:00:00-03:00,19.21
2010-09-01,2010,1,9,BM12_TPFMA12,2010-09-01T00:00:00-03:00,19.75
2010-10-01,2010,1,10,BM12_TPFMA12,2010-10-01T00:00:00-03:00,20.03
2010-11-01,2010,1,11,BM12_TPFMA12,2010-11-01T00:00:00-02:00,19.26
2010-12-01,2010,1,12,BM12_TPFMA12,2010-12-01T00:00:00-02:00,13.91
2011-01-01,2011,1,1,BM12_TPFMA12,2011-01-01T00:00:00-02:00,19.57
2011-02-01,2011,1,2,BM12_TPFMA12,2011-02-01T00:00:00-02:00,18.48
2011-03-01,2011,1,3,BM12_TPFMA12,2011-03-01T00:00:00-03:00,18.54
2011-04-01,2011,1,4,BM12_TPFMA12,2011-04-01T00:00:00-03:00,17.49
2011-05-01,2011,1,5,BM12_TPFMA12,2011-05-01T00:00:00-03:00,17.35
2011-06-01,2011,1,6,BM12_TPFMA12,2011-06-01T00:00:00-03:00,15.68
2011-07-01,2011,1,7,BM12_TPFMA12,2011-07-01T00:00:00-03:00,20.05
2011-08-01,2011,1,8,BM12_TPFMA12,2011-08-01T00:00:00-03:00,18.83
2011-09-01,2011,1,9,BM12_TPFMA12,2011-09-01T00:00:00-03:00,17.17
2011-10-01,2011,1,10,BM12_TPFMA12,2011-10-01T00:00:00-03:00,17.19
2011-11-01,2011,1,11,BM12_TPFMA12,2011-11-01T00:00:00-02:00,16.62
2011-12-01,2011,1,12,BM12_TPFMA12,2011-12-01T00:00:00-02:00,14.89
2012-01-01,2012,1,1,BM12_TPFMA12,2012-01-01T00:00:00-02:00,19.76
2012-02-01,2012,1,2,BM12_TPFMA12,2012-02-01T00:00:00-02:00,19.57
2012-03-01,2012,1,3,BM12_TPFMA12,2012-03-01T00:00:00-03:00,20.26
2012-04-01,2012,1,4,BM12_TPFMA12,2012-04-01T00:00:00-03:00,20.67
2012-05-01,2012,1,5,BM12_TPFMA12,2012-05-01T00:00:00-03:00,19.34
2012-06-01,2012,1,6,BM12_TPFMA12,2012-06-01T00:00:00-03:00,18.06
2012-07-01,2012,1,7,BM12_TPFMA12,2012-07-01T00:00:00-03:00,23.0
2012-08-01,2012,1,8,BM12_TPFMA12,2012-08-01T00:00:00-03:00,23.76
2012-09-01,2012,1,9,BM12_TPFMA12,2012-09-01T00:00:00-03:00,23.78
2012-10-01,2012,1,10,BM12_TPFMA12,2012-10-01T00:00:00-03:00,23.69
2012-11-01,2012,1,11,BM12_TPFMA12,2012-11-01T00:00:00-02:00,23.6
2012-12-01,2012,1,12,BM12_TPFMA12,2012-12-01T00:00:00-02:00,20.6
2013-01-01,2013,1,1,BM12_TPFMA12,2013-01-01T00:00:00-02:00,25.24
2013-02-01,2013,1,2,BM12_TPFMA12,2013-02-01T00:00:00-02:00,24.67
2013-03-01,2013,1,3,BM12_TPFMA12,2013-03-01T00:00:00-03:00,25.74
2013-04-01,2013,1,4,BM12_TPFMA12,2013-04-01T00:00:00-03:00,26.34
2013-05-01,2013,1,5,BM12_TPFMA12,2013-05-01T00:00:00-03:00,27.17
2013-06-01,2013,1,6,BM12_TPFMA12,2013-06-01T00:00:00-03:00,25.22
2013-07-01,2013,1,7,BM12_TPFMA12,2013-07-01T00:00:00-03:00,27.01
2013-08-01,2013,1,8,BM12_TPFMA12,2013-08-01T00:00:00-03:00,25.8
2013-09-01,2013,1,9,BM12_TPFMA12,2013-09-01T00:00:00-03:00,25.78
2013-10-01,2013,1,10,BM12_TPFMA12,2013-10-01T00:00:00-03:00,25.3
2013-11-01,2013,1,11,BM12_TPFMA12,2013-11-01T00:00:00-02:00,23.42
2013-12-01,2013,1,12,BM12_TPFMA12,2013-12-01T00:00:00-02:00,20.05
2014-01-01,2014,1,1,BM12_TPFMA12,2014-01-01T00:00:00-02:00,25.39
2014-02-01,2014,1,2,BM12_TPFMA12,2014-02-01T00:00:00-02:00,24.09
2014-03-01,2014,1,3,BM12_TPFMA12,2014-03-01T00:00:00-03:00,24.07
2014-04-01,2014,1,4,BM12_TPFMA12,2014-04-01T00:00:00-03:00,25.97
2014-05-01,2014,1,5,BM12_TPFMA12,2014-05-01T00:00:00-03:00,24.16
2014-06-01,2014,1,6,BM12_TPFMA12,2014-06-01T00:00:00-03:00,22.56
2014-07-01,2014,1,7,BM12_TPFMA12,2014-07-01T00:00:00-03:00,24.8
2014-08-01,2014,1,8,BM12_TPFMA12,2014-08-01T00:00:00-03:00,26.1
2014-09-01,2014,1,9,BM12_TPFMA12,2014-09-01T00:00:00-03:00,27.92
2014-10-01,2014,1,10,BM12_TPFMA12,2014-10-01T00:00:00-03:00,29.76
2014-11-01,2014,1,11,BM12_TPFMA12,2014-11-01T00:00:00-02:00,28.96
2014-12-01,2014,1,12,BM12_TPFMA12,2014-12-01T00:00:00-02:00,26.61
2015-01-01,2015,1,1,BM12_TPFMA12,2015-01-01T00:00:00-02:00,29.65
2015-02-01,2015,1,2,BM12_TPFMA12,2015-02-01T00:00:00-02:00,28.49
2015-03-01,2015,1,3,BM12_TPFMA12,2015-03-01T00:00:00-03:00,26.82
2015-04-01,2015,1,4,BM12_TPFMA12,2015-04-01T00:00:00-03:00,26.29
2015-05-01,2015,1,5,BM12_TPFMA12,2015-05-01T00:00:00-03:00,26.42
2015-06-01,2015,1,6,BM12_TPFMA12,2015-06-01T00:00:00-03:00,24.89
2015-07-01,2015,1,7,BM12_TPFMA12,2015-07-01T00:00:00-03:00,26.33
2015-08-01,2015,1,8,BM12_TPFMA12,2015-08-01T00:00:00-03:00,25.02
2015-09-01,2015,1,9,BM12_TPFMA12,2015-09-01T00:00:00-03:00,24.42
2015-10-01,2015,1,10,BM12_TPFMA12,2015-10-01T00:00:00-03:00,27.48
2015-11-01,2015,1,11,BM12_TPFMA12,2015-11-01T00:00:00-02:00,26.02
2015-12-01,2015,1,12,BM12_TPFMA12,2015-12-01T00:00:00-02:00,25.24
2016-01-01,2016,1,1,BM12_TPFMA12,2016-01-01T00:00:00-02:00,27.89
2016-02-01,2016,1,2,BM12_TPFMA12,2016-02-01T00:00:00-02:00,26.4
2016-03-01,2016,1,3,BM12_TPFMA12,2016-03-01T00:00:00-03:00,24.49
2016-04-01,2016,1,4,BM12_TPFMA12,2016-04-01T00:00:00-03:00,27.54
